PIID,Est. Ultimate Completion Date,Date Signed,NAICS Code,NAICS Description,Product or Service Code,Product or Service Description,Principal Place of Performance City Name,Principal Place of Performance State Code,Place of Performance Zip Code,Contractor Name,Street,Vendor City,Vendor State,Zip,DUNS Number,Vendor Phone Number,Effective Date,Action Obligation
47QTCF18F0024,03/31/2023,11/14/2017,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,JOHNSON CITY,TN,37604-2277,"WINDSTREAM COMMUNICATIONS, INC.",4001 N RODNEY PARHAM RD STE 202,LITTLE ROCK,AR,72212-2442,780994039,(501) 748-5839,11/17/2017,"$13,213.76"
47QTCF18F0025,03/31/2023,11/27/2017,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,JACKSON,MS,39269-0199,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,11/30/2017,"$2,860.00"
47QTCF18F0026,03/31/2023,11/28/2017,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,MIAMI,FL,33196-6866,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,12/01/2017,"$8,683.20"
47QTCF18F0032,03/31/2023,01/08/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D306,IT AND TELECOM- SYSTEMS ANALYSIS,KEY WEST,FL,33040-2300,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,01/15/2018,"$1,149,726.96"
47QTCF18F0036,03/31/2023,12/08/2017,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,CHARLOTTE,NC,28208-1463,"WINDSTREAM COMMUNICATIONS, INC.",4001 N RODNEY PARHAM RD STE 202,LITTLE ROCK,AR,72212-2442,780994039,(501) 748-5839,12/27/2017,"$26,400.51"
47QTCF18F0037,03/31/2023,12/08/2017,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,WILMINGTON,NC,28401-8027,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,12/22/2017,"$7,300.57"
47QTCF18F0040,03/31/2023,12/13/2017,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,COLUMBUS,GA,31901-1048,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,12/15/2017,"$8,704.80"
47QTCF18F0041,03/31/2023,12/14/2017,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,LOUISVILLE,KY,40213-1388,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,12/14/2017,"$21,524.70"
47QTCF18F0043,03/31/2023,01/17/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D306,IT AND TELECOM- SYSTEMS ANALYSIS,BARDSTOWN,KY,40004-0229,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,02/15/2018,"$313,137.50"
47QTCF18F0045,03/31/2023,01/17/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D306,IT AND TELECOM- SYSTEMS ANALYSIS,BRYCEVILLE,FL,32009-2342,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,02/15/2018,"$498,773.66"
47QTCF18F0046,03/31/2023,05/01/2019,517110,WIRED TELECOMMUNICATIONS CARRIERS,D306,IT AND TELECOM- SYSTEMS ANALYSIS,KEY WEST,FL,33040-2300,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,05/01/2019,$0.00
47QTCF18F0047,05/30/2023,01/17/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D306,IT AND TELECOM- SYSTEMS ANALYSIS,KEY WEST,FL,33040-2300,FRONTIER COMMUNICATIONS CORPORATION,3 HIGH RIDGE PARK,STAMFORD,CT,06905-1337,006918296,(703) 999-2796,02/01/2018,"$25,602.41"
47QTCF18F0048,03/31/2023,04/13/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D306,IT AND TELECOM- SYSTEMS ANALYSIS,BRYCEVILLE,FL,32009-2342,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,04/12/2018,$0.00
47QTCF18F0049,03/31/2023,05/13/2019,517110,WIRED TELECOMMUNICATIONS CARRIERS,D306,IT AND TELECOM- SYSTEMS ANALYSIS,BOONVILLE,NC,27011-9301,FRONTIER COMMUNICATIONS CORPORATION,3 HIGH RIDGE PARK,STAMFORD,CT,06905-1337,006918296,(703) 999-2796,05/13/2019,$0.00
47QTCF18F0050,03/31/2023,12/19/2017,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,NASHVILLE,TN,37217-2144,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,12/20/2017,"$7,892.64"
47QTCF18F0051,03/31/2023,12/20/2017,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,DORAL,FL,33178-1526,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,12/20/2017,"$42,251.75"
47QTCF18F0052,03/31/2023,12/20/2017,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,NASHVILLE,TN,37217-2144,"WINDSTREAM COMMUNICATIONS, INC.",4001 N RODNEY PARHAM RD STE 202,LITTLE ROCK,AR,72212-2442,780994039,(501) 748-5839,12/20/2017,"$5,862.16"
47QTCF18F0053,03/31/2023,12/20/2017,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,CORBIN,KY,40701-2184,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,12/22/2017,"$2,467.12"
47QTCF18F0056,03/31/2023,12/27/2017,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,CORBIN,KY,40701-2184,"CORE TECHNOLOGIES, INC.",2979 PACIFIC DR STE B,NORCROSS,GA,30071-0000,843573713,(770) 935-4746,12/29/2017,"$4,931.92"
47QTCF18F0061,03/31/2023,01/10/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,TUPELO,MS,38801-0630,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,01/16/2018,"$9,253.80"
47QTCF18F0062,03/31/2023,01/10/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,SAVANNAH,GA,31408-1100,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,01/22/2018,"$77,234.64"
47QTCF18F0063,03/31/2023,01/11/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,TAMPA,FL,33602-1000,FRONTIER COMMUNICATIONS CORPORATION,3 HIGH RIDGE PARK,STAMFORD,CT,06905-1337,006918296,(703) 999-2796,01/12/2018,"$9,913.20"
47QTCF18F0064,03/31/2023,05/09/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D306,IT AND TELECOM- SYSTEMS ANALYSIS,ALCOLU,SC,29001-8825,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,05/09/2018,$0.00
47QTCF18F0067,03/31/2023,01/18/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,COLUMBIA,SC,29201-2423,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,01/22/2018,"$26,790.00"
47QTCF18F0068,03/31/2023,01/18/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,BIRMINGHAM,AL,35226-4801,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,01/23/2018,"$2,304.60"
47QTCF18F0070,03/30/2023,02/07/2019,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,COLUMBUS,GA,31902-0002,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,04/22/2019,$0.00
47QTCF18F0076,03/31/2023,01/26/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,ATLANTA,GA,30308-1922,"WINDSTREAM COMMUNICATIONS, INC.",4001 N RODNEY PARHAM RD STE 202,LITTLE ROCK,AR,72212-2442,780994039,(501) 748-5839,01/29/2018,"$23,652.09"
47QTCF18F0083,03/31/2023,06/20/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D306,IT AND TELECOM- SYSTEMS ANALYSIS,ATLANTA,GA,30308-1922,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,06/20/2018,$200.00
47QTCF18F0086,03/31/2023,02/15/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,FORT LAUDERDALE,FL,33301-3206,"CORE TECHNOLOGIES, INC.",2979 PACIFIC DR STE B,NORCROSS,GA,30071-0000,843573713,(770) 935-4746,02/19/2018,"$4,255.46"
47QTCF18F0088,03/31/2023,02/20/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,CHARLESTON,SC,29403-6571,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,02/20/2018,"$17,401.80"
47QTCF18F0089,03/30/2023,02/22/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,PALM CITY,FL,34990-1200,"CORE TECHNOLOGIES, INC.",2979 PACIFIC DR STE B,NORCROSS,GA,30071-0000,843573713,(770) 935-4746,03/12/2018,"$5,241.76"
47QTCF18F0099,03/31/2023,03/08/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,WAKE FOREST,NC,27587-7560,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,03/19/2018,"$4,704.50"
47QTCF18F0101,03/31/2023,03/14/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,BRADENTON,FL,34207-1000,FRONTIER COMMUNICATIONS CORPORATION,3 HIGH RIDGE PARK,STAMFORD,CT,06905-1337,006918296,(703) 999-2796,03/19/2018,"$3,093.26"
47QTCF18F0102,03/31/2023,03/15/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,MIAMI,FL,33128-1813,"CORE TECHNOLOGIES, INC.",2979 PACIFIC DR STE B,NORCROSS,GA,30071-0000,843573713,(770) 935-4746,03/30/2018,"$15,225.30"
47QTCF18F0109,03/31/2023,03/23/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,NASHVILLE,TN,37217-2144,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,03/27/2018,"$8,513.60"
47QTCF18F0110,03/31/2023,03/30/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,WILKESBORO,NC,28697-2246,FRONTIER COMMUNICATIONS CORPORATION,3 HIGH RIDGE PARK,STAMFORD,CT,06905-1337,006918296,(703) 999-2796,04/03/2018,"$6,536.33"
47QTCF18F0112,03/31/2023,04/03/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,BRUNSWICK,GA,31520-4800,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,04/16/2018,"$11,306.25"
47QTCF18F0114,03/31/2023,04/09/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,CORDOVA,TN,38018-0100,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,04/23/2018,"$5,637.40"
47QTCF18F0117,03/31/2023,04/19/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,GULF BREEZE,FL,32561-2067,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,04/23/2018,"$15,607.50"
47QTCF18F0121,03/31/2023,04/25/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,CHATTANOOGA,TN,37403-2126,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,04/30/2018,"$5,455.40"
47QTCF18F0126,03/31/2023,05/02/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,ATLANTA,GA,30303-8801,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,05/07/2018,"$24,570.00"
47QTCF18F0135,03/31/2023,05/21/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,MOBILE,AL,36602-3256,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,05/21/2018,"$8,126.40"
47QTCF18F0142,03/31/2023,06/22/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,EASTOVER,SC,29044-0007,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,07/20/2018,"$88,917.40"
47QTCF18F0145,03/31/2023,07/19/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,LONDON,KY,40741-1003,"CORE TECHNOLOGIES, INC.",2979 PACIFIC DR STE B,NORCROSS,GA,30071-0000,843573713,(770) 935-4746,07/20/2018,"$26,811.24"
47QTCF18F0150,05/30/2023,09/18/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D306,IT AND TELECOM- SYSTEMS ANALYSIS,KEY WEST,FL,33040-4436,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,09/20/2018,"$340,981.43"
47QTCF18F0151,03/31/2023,09/07/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D306,IT AND TELECOM- SYSTEMS ANALYSIS,BOYNTON BEACH,FL,33424-4430,"WINDSTREAM COMMUNICATIONS, INC.",4001 N RODNEY PARHAM RD STE 202,LITTLE ROCK,AR,72212-2442,780994039,(501) 748-5839,09/19/2018,"$29,634.30"
47QTCF18F0152,03/31/2023,09/17/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D306,IT AND TELECOM- SYSTEMS ANALYSIS,HOMESTEAD,FL,33030-1806,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,09/20/2018,"$148,400.00"
47QTCF18F0153,03/31/2023,06/22/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,CHARLESTON,SC,29401-1100,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,07/20/2018,"$1,398.32"
47QTCF18F0158,03/31/2023,09/04/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,NORTH CHARLESTON,SC,29405-2602,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,09/04/2018,"$35,890.00"
47QTCF18F0159,03/31/2023,09/05/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,FRANKFORT,KY,40601-1004,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,09/10/2018,"$29,454.34"
47QTCF18F0164,03/31/2023,09/20/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,ATLANTA,GA,30318-3899,"CORE TECHNOLOGIES, INC.",2979 PACIFIC DR STE B,NORCROSS,GA,30071-0000,843573713,(770) 935-4746,09/20/2018,"$17,824.28"
47QTCF18F0165,03/31/2023,09/11/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D306,IT AND TELECOM- SYSTEMS ANALYSIS,JACKSONVILLE,FL,32207-3454,"WINDSTREAM COMMUNICATIONS, INC.",4001 N RODNEY PARHAM RD STE 202,LITTLE ROCK,AR,72212-2442,780994039,(501) 748-5839,09/18/2018,"$16,357.10"
47QTCF18F0168,03/31/2023,09/10/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,JACKSON,MS,39201-1002,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,09/17/2018,"$77,341.64"
47QTCF18F0174,03/31/2023,09/17/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,GREENVILLE,SC,29605-1008,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,09/28/2018,"$16,292.30"
47QTCF18F0175,03/31/2023,09/18/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,TAMPA,FL,33602-2060,FRONTIER COMMUNICATIONS CORPORATION,3 HIGH RIDGE PARK,STAMFORD,CT,06905-1337,006918296,(703) 999-2796,09/19/2018,"$42,202.56"
47QTCF18F0176,03/31/2023,09/20/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,GREENVILLE,SC,29605-1009,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,09/28/2018,"$12,819.94"
47QTCF18F103,03/31/2023,03/15/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,CHATTANOOGA,TN,37416-3568,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,03/26/2018,"$5,454.75"
47QTCF19F0001,03/31/2023,10/03/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,CHARLOTTE,NC,28202-0208,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,10/05/2018,"$15,132.04"
47QTCF19F0007,03/31/2023,10/10/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,PENSACOLA,FL,32502-4141,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,10/19/2018,"$1,494.68"
47QTCF19F0011,03/31/2023,10/10/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,CHIPLEY,FL,32428-9305,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,10/19/2018,"$12,852.84"
47QTCF19F0012,03/31/2023,10/10/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,JACKSONVILLE,FL,32212-1001,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,10/19/2018,"$1,727.88"
47QTCF19F0013,03/31/2023,10/11/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,ATLANTA,GA,30329-1000,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,10/12/2018,"$41,254.00"
47QTCF19F0014,03/31/2023,10/11/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,ORLANDO,FL,32831-2001,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,10/19/2018,"$6,988.52"
47QTCF19F0015,03/31/2023,10/11/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,KEY WEST,FL,33040-4435,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,10/19/2018,"$135,706.78"
47QTCF19F0016,03/31/2023,10/11/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,HOMESTEAD,FL,33030-1806,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,10/19/2018,"$5,183.64"
47QTCF19F0018,03/31/2023,11/01/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,ATLANTA,GA,30303-8701,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,11/05/2018,"$198,464.42"
47QTCF19F0019,03/31/2023,11/01/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,BRUNSWICK,GA,31524-2002,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,11/05/2018,"$8,638.30"
47QTCF19F0020,03/31/2023,11/01/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,WAYNESBORO,GA,30830-0005,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,11/05/2018,"$1,908.06"
47QTCF19F0021,03/31/2023,11/01/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,WARNER ROBINS,GA,31098-1027,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,11/05/2018,"$1,679.26"
47QTCF19F0022,03/31/2023,10/19/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,LOUISVILLE,KY,40220-1008,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,10/20/2018,"$6,162.66"
47QTCF19F0023,03/31/2023,10/30/2018,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,ATLANTA,GA,30303-3510,"SBC GLOBAL SERVICES, INC.",2001 LAKEWOOD BLVD STE 6L544,HOFFMAN ESTATES,IL,60192-5004,827183919,(314) 505-0638,10/31/2018,"$79,552.00"
